DC1 DC2 DC3 DC4 DC5 DC6 DC7 DC8 DC9 DC10 DC11 DC12 DC13 DC14 DC15 DC16 DC17 DC18 DC19 DC20
33 0.00244130735125147 0.00916237938868195 -0.000643301423234812 -0.016649974633636 -0.00237990145055043 -0.0270970949915469 -0.00246240998101213 0.000987490780162183 0.0379965044672326 -0.0101546450307568 -0.0039539390726839 -0.0107409271296697 -0.00263826734974443 -0.00263818852496124 -0.00667661034662061 0.00677654137147736 0.024454385836828 0.0241486489150397 -0.0270901679030774 0.0199896825693126
34 0.00244414425346386 0.00924002859385822 -0.00063890320619446 -0.016330789311319 -0.00232707682347567 -0.025849104007459 -0.00242859185531683 0.00155450551812094 0.0351428089804386 -0.00898735651113055 -0.00384379776705659 -0.0109827019731617 -0.00624077995748253 -0.000323542280346194 -0.00547126838986705 0.00551844534130466 0.0199827499834438 0.0193338392560402 -0.0211701906279101 0.014575832803442
35 0.00188401240388976 0.0101300544817464 -0.000258195804683375 0.00217188752098932 0.00381889726203597 0.0220164527091271 0.00547249884188008 0.00444805474169801 -0.0380561877005169 -0.0517007459377823 -0.036869378809008 -0.00739521703829779 -3.55191055877428e-05 0.00424642106003661 0.00448510569646561 -0.00241333491359973 -0.00899606589400465 -0.000642321925416578 -0.00588141718850563 0.0136036037220737
36 0.00244445950628747 0.00927484168115626 -0.000636404563857666 -0.0161633438464519 -0.00229813935385735 -0.0252174080307668 -0.00240859294624084 0.00182750386724936 0.0337380476837446 -0.00841705671235775 -0.00378015699483649 -0.0110935450427869 -0.00801104599616456 0.000817390508711057 -0.00487826897626707 0.00491054559783446 0.0178141295428422 0.0170276601204399 -0.0183711237887463 0.0120789255490161
37 0.00148379140401176 0.0102305643394733 -3.50499046693145e-05 0.0120401245231298 0.00938659647709137 0.0371513143284606 0.0128267649805335 -0.00608532524903684 -0.0158240331848529 -0.0645888861790948 -0.0198947835634838 -0.00143298632264996 -0.0148609712132192 0.009178230715657 -0.00261535568959747 0.0220503514129013 0.00921645288029691 0.0257263275215408 -0.0242216695025166 0.0179532690378271
38 0.00244244716771876 0.00935767553433783 -0.000628939050828446 -0.01569484673263 -0.00221323116399587 -0.0235105383597386 -0.00234576367354031 0.00252436895894641 0.03006165676293 -0.0069371098564892 -0.00358352549445808 -0.0113608476263744 -0.0126481094004778 0.00381587294862856 -0.00332502953424445 0.00335336884455331 0.0122320043637234 0.0111835036503265 -0.0113905771287465 0.00605031354106737
39 0.00244128794656156 0.00937805438402793 -0.000626737032774537 -0.0155627776433834 -0.0021883202117708 -0.0230424537092325 -0.00232640605408449 0.00270592592613936 0.0290819839510925 -0.00654573092175372 -0.00352355621091002 -0.011426833501374 -0.0138869055336061 0.00461918751744507 -0.00291045168196274 0.00294648305628544 0.0107662588017522 0.00967212450852548 -0.00961270699283241 0.00456706564982036
40 0.0191817145751273 -0.000473484214831822 0.00185126072733387 0.0454873703442116 -0.00827281782978661 0.0287282580661516 -0.00463211018352219 0.000485824494566241 0.00461188935911183 -0.00110227268569021 0.000301875820676934 0.000154811339433033 0.000540777933941941 -0.000160118209708654 -0.000355199732552742 1.69909524497772e-05 -3.26959422346992e-05 -5.64574860202095e-05 2.41967128625231e-06 -6.4567618687783e-07
41 0.0019053064227871 0.0101252848129195 -0.0002642066883513 0.00191073578161917 0.0036371002456577 0.0214758561727798 0.00579802705999899 0.00230597068267504 -0.00428322546986686 0.0895275083051668 -0.0734523600016581 -0.017252227744431 0.0158732544275994 0.00236449245327656 0.0146741182323763 -0.0282871695477089 -0.0204357675255405 -0.00371087177577028 -0.0119428709802677 0.0226235532897492
42 0.00242770622311232 0.00950027773967543 -0.000609886592008857 -0.0146036389282424 -0.00199575602709297 -0.0197700683642602 -0.00216696387117952 0.0038728284395517 0.0225484201514073 -0.00396786059734743 -0.00303500542997841 -0.0118132853474504 -0.0222182957760002 0.0100441640455205 -0.000132450879310962 0.000319584622913809 0.00121417793962361 8.75216005934557e-05 0.00135403612472014 -0.00402429938776455
